Valency,Cell,subclass_1,%_1,subclass_2,%_2,5/15/20,5/20/20,5/28/20,6/2/20,6/23/20,6/30/20,7/14/20,7/23/20,9/2/20,9/11/20,10/23/20,11/25/20,12/11/20,12/16/20,2/3/21,2/12/21,2/19/21
33,CHO-hFcgRIIA-131Arg,IgG3,100,IgG4,0,,,,,,,,,,,11927,,10473,10069,,,
33,CHO-hFcgRIIA-131Arg,IgG3,90,IgG4,10,,,,,,,,,,,12904,,8595,10416,,,
33,CHO-hFcgRIIA-131Arg,IgG3,66,IgG4,33,,,,,,,,,,,11505,,12191,11982,,,
33,CHO-hFcgRIIA-131Arg,IgG3,33,IgG4,66,,,,,,,,,,,10919,,8559,12842,,,
33,CHO-hFcgRIIA-131Arg,IgG3,10,IgG4,90,,,,,,,,,,,10947,,9279,8455,,,
33,CHO-hFcgRIIA-131Arg,IgG3,0,IgG4,100,,,,,,,,,,,6231,,8009,6889,,,
4,CHO-hFcgRIIB,IgG1,100,IgG2,0,203,1623,,115,,,,,657,,,,,,,,
4,CHO-hFcgRIIB,IgG1,90,IgG2,10,188,1095,,110,,,,,354,,,,,,,,
4,CHO-hFcgRIIB,IgG1,66,IgG2,33,143,641,,86,,,,,137,,,,,,,,
4,CHO-hFcgRIIB,IgG1,33,IgG2,66,58,313,,100,,,,,60,,,,,,,,
4,CHO-hFcgRIIB,IgG1,10,IgG2,90,50,2,,44,,,,,165,,,,,,,,
4,CHO-hFcgRIIB,IgG1,0,IgG2,100,233,114,,37,,,,,-89,,,,,,,,
4,CHO-hFcgRIIB,IgG1,100,IgG3,0,221,1309,,206,,,,,447,,,,,,,,
4,CHO-hFcgRIIB,IgG1,90,IgG3,10,226,1827,,143,,,,,564,,,,,,,,
4,CHO-hFcgRIIB,IgG1,66,IgG3,33,208,1825,,150,,,,,421,,,,,,,,
4,CHO-hFcgRIIB,IgG1,33,IgG3,66,161,2661,,39,,,,,359,,,,,,,,
4,CHO-hFcgRIIB,IgG1,10,IgG3,90,169,3863,,159,,,,,511,,,,,,,,
4,CHO-hFcgRIIB,IgG1,0,IgG3,100,1032,1438,,142,,,,,547,,,,,,,,
4,CHO-hFcgRIIB,IgG1,100,IgG4,0,212,1415,,139,,,,,443,,,,,,,,
4,CHO-hFcgRIIB,IgG1,90,IgG4,10,208,1073,,144,,,,,797,,,,,,,,
4,CHO-hFcgRIIB,IgG1,66,IgG4,33,199,921,,98,,,,,1090,,,,,,,,
4,CHO-hFcgRIIB,IgG1,33,IgG4,66,102,693,,173,,,,,862,,,,,,,,
4,CHO-hFcgRIIB,IgG1,10,IgG4,90,137,502,,63,,,,,599,,,,,,,,
4,CHO-hFcgRIIB,IgG1,0,IgG4,100,425,-1341,,53,,,,,531,,,,,,,,
4,CHO-hFcgRIIB,IgG2,100,IgG3,0,,,,,29,178,359,54,,6,,,,,,,
4,CHO-hFcgRIIB,IgG2,90,IgG3,10,,,,,45,9,129,22,,135,,,,,,,
4,CHO-hFcgRIIB,IgG2,66,IgG3,33,,,,,18,70,147,94,,328,,,,,,,
4,CHO-hFcgRIIB,IgG2,33,IgG3,66,,,,,31,46,152,119,,581,,,,,,,
4,CHO-hFcgRIIB,IgG2,10,IgG3,90,,,,,124,72,222,133,,357,,,,,,,
4,CHO-hFcgRIIB,IgG2,0,IgG3,100,,,,,85,,282,186,,616,,,,,,,
4,CHO-hFcgRIIB,IgG2,100,IgG4,0,,,,,15,-3,70,14,,8,,,,,,,
4,CHO-hFcgRIIB,IgG2,90,IgG4,10,,,,,-8,8,63,25,,25,,,,,,,
4,CHO-hFcgRIIB,IgG2,66,IgG4,33,,,,,-18,-9,70,4,,7,,,,,,,
4,CHO-hFcgRIIB,IgG2,33,IgG4,66,,,,,14,-7,82,32,,388,,,,,,,
4,CHO-hFcgRIIB,IgG2,10,IgG4,90,,,,,40,5,106,16,,220,,,,,,,
